Latitude (decimal degrees):	50.947
Longitude (decimal degrees):	4.827
Elevation (m):	23
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050102:2210,0.0,0.0,0.0,3.87,4.97,0.0
20050102:2310,0.0,0.0,0.0,3.88,5.1,0.0
20050103:0010,0.0,0.0,0.0,3.94,5.03,0.0
20050103:0110,0.0,0.0,0.0,3.79,4.97,0.0
20050103:0210,0.0,0.0,0.0,3.67,4.76,0.0
20050103:0310,0.0,0.0,0.0,3.34,4.41,0.0
20050103:0410,0.0,0.0,0.0,3.13,4.07,0.0
20050103:0510,0.0,0.0,0.0,2.78,3.93,0.0
20050103:0610,0.0,0.0,0.0,2.63,4.07,0.0
20050103:0710,0.0,0.0,0.0,2.52,4.55,0.0
20050103:0810,0.0,0.0,0.0,2.53,4.62,0.0
20050103:0910,27.87,45.92,8.81,3.46,4.76,0.0
20050103:1010,52.76,75.79,13.37,4.58,4.07,0.0
20050103:1110,351.47,404.65,15.84,5.84,4.28,0.0
20050103:1210,284.79,332.02,16.0,6.87,4.83,0.0
20050103:1310,85.35,113.87,13.83,7.58,4.83,0.0
20050103:1410,104.1,134.88,9.53,8.01,4.76,0.0
20050103:1510,49.7,73.88,3.45,7.79,4.41,0.0
20050103:1610,0.0,0.0,0.0,7.38,4.21,0.0
20050103:1710,0.0,0.0,0.0,6.77,4.48,0.0
20050103:1810,0.0,0.0,0.0,6.29,4.9,0.0
20050103:1910,0.0,0.0,0.0,6.14,4.97,0.0
20050103:2010,0.0,0.0,0.0,5.98,5.1,0.0
20050103:2110,0.0,0.0,0.0,6.41,5.31,0.0
20050103:2210,0.0,0.0,0.0,6.87,5.59,0.0
20050103:2310,0.0,0.0,0.0,7.26,5.66,0.0
20050104:0010,0.0,0.0,0.0,7.41,5.72,0.0
20050104:0110,0.0,0.0,0.0,7.44,5.72,0.0
20050104:0210,0.0,0.0,0.0,7.37,5.86,0.0
20050104:0310,0.0,0.0,0.0,7.38,6.14,0.0
20050104:0410,0.0,0.0,0.0,7.21,6.28,0.0
20050104:0510,0.0,0.0,0.0,6.5,6.0,0.0
20050104:0610,0.0,0.0,0.0,5.7,5.86,0.0
20050104:0710,0.0,0.0,0.0,5.08,6.21,0.0
20050104:0810,0.0,0.0,0.0,4.37,6.34,0.0
20050104:0910,87.61,114.3,8.86,4.55,6.69,0.0
20050104:1010,400.82,454.59,13.44,4.85,6.21,0.0
20050104:1110,481.88,544.86,15.93,5.12,6.97,0.0
20050104:1210,55.84,79.73,16.11,5.49,7.03,0.0
20050104:1310,107.44,137.22,13.95,5.74,6.62,0.0
20050104:1410,14.16,28.74,9.66,5.85,6.28,0.0
20050104:1510,0.0,5.56,3.59,5.93,6.14,0.0
20050104:1610,0.0,0.0,0.0,5.8,5.86,0.0
20050104:1710,0.0,0.0,0.0,5.9,5.86,0.0
20050104:1810,0.0,0.0,0.0,5.95,5.79,0.0
20050104:1910,0.0,0.0,0.0,5.36,5.72,0.0
20050104:2010,0.0,0.0,0.0,5.41,5.79,0.0
20050104:2110,0.0,0.0,0.0,5.52,5.79,0.0
20050104:2210,0.0,0.0,0.0,5.63,5.72,0.0
20050104:2310,0.0,0.0,0.0,5.79,5.66,0.0
20050105:0010,0.0,0.0,0.0,6.03,5.72,0.0
20050105:0110,0.0,0.0,0.0,6.28,5.52,0.0
20050105:0210,0.0,0.0,0.0,6.5,4.9,0.0
20050105:0310,0.0,0.0,0.0,6.65,4.28,0.0
20050105:0410,0.0,0.0,0.0,6.51,3.72,0.0
20050105:0510,0.0,0.0,0.0,6.33,3.31,0.0
20050105:0610,0.0,0.0,0.0,6.05,2.9,0.0
20050105:0710,0.0,0.0,0.0,6.07,2.76,0.0
20050105:0810,0.0,0.0,0.0,5.62,2.62,0.0
20050105:0910,28.21,46.75,8.92,5.56,2.76,0.0
20050105:1010,69.11,95.01,13.52,6.28,3.24,0.0
20050105:1110,59.04,83.92,16.03,6.81,3.66,0.0
20050105:1210,60.55,85.77,16.22,7.13,4.0,0.0
20050105:1310,32.03,51.92,14.08,7.16,3.38,0.0
20050105:1410,21.72,38.94,9.8,7.25,3.66,0.0
20050105:1510,7.0,18.54,3.74,6.96,3.66,0.0
20050105:1610,0.0,0.0,0.0,6.67,4.07,0.0
20050105:1710,0.0,0.0,0.0,6.6,4.41,0.0
20050105:1810,0.0,0.0,0.0,6.88,4.83,0.0
20050105:1910,0.0,0.0,0.0,6.68,5.24,0.0
20050105:2010,0.0,0.0,0.0,6.75,5.31,0.0
20050105:2110,0.0,0.0,0.0,6.35,5.38,0.0
20050105:2210,0.0,0.0,0.0,6.11,5.59,0.0
20050105:2310,0.0,0.0,0.0,6.46,6.28,0.0
20050106:0010,0.0,0.0,0.0,6.62,6.55,0.0
20050106:0110,0.0,0.0,0.0,6.98,6.41,0.0
20050106:0210,0.0,0.0,0.0,7.31,5.79,0.0
20050106:0310,0.0,0.0,0.0,7.6,5.38,0.0
20050106:0410,0.0,0.0,0.0,7.11,4.9,0.0
20050106:0510,0.0,0.0,0.0,6.58,4.28,0.0
20050106:0610,0.0,0.0,0.0,5.89,3.59,0.0
20050106:0710,0.0,0.0,0.0,5.54,3.45,0.0
20050106:0810,0.0,0.0,0.0,4.99,3.45,0.0
20050106:0910,91.17,118.77,8.99,5.01,3.52,0.0
20050106:1010,321.7,373.01,13.6,5.86,3.1,0.0
20050106:1110,368.71,426.09,16.14,6.92,4.28,0.0
20050106:1210,543.23,629.62,16.35,7.69,4.55,0.0
20050106:1310,509.67,591.41,14.21,8.13,4.76,0.0
20050106:1410,393.64,459.66,9.94,8.48,4.83,0.0
20050106:1510,274.47,332.33,3.88,8.33,4.41,0.0
20050106:1610,0.0,0.0,0.0,7.75,4.41,0.0
20050106:1710,0.0,0.0,0.0,7.55,4.83,0.0
20050106:1810,0.0,0.0,0.0,7.19,5.03,0.0
20050106:1910,0.0,0.0,0.0,7.21,5.52,0.0
20050106:2010,0.0,0.0,0.0,7.18,5.72,0.0
20050106:2110,0.0,0.0,0.0,7.34,5.79,0.0
20050106:2210,0.0,0.0,0.0,8.07,5.79,0.0
20050106:2310,0.0,0.0,0.0,8.56,5.93,0.0
20050107:0010,0.0,0.0,0.0,8.89,6.14,0.0
20050107:0110,0.0,0.0,0.0,9.12,6.41,0.0
20050107:0210,0.0,0.0,0.0,9.16,6.76,0.0
20050107:0310,0.0,0.0,0.0,9.01,6.97,0.0
20050107:0410,0.0,0.0,0.0,8.75,6.9,0.0
20050107:0510,0.0,0.0,0.0,8.62,6.9,0.0
20050107:0610,0.0,0.0,0.0,8.62,6.83,0.0
20050107:0710,0.0,0.0,0.0,8.93,6.97,0.0
20050107:0810,0.0,0.0,0.0,9.1,7.1,0.0
20050107:0910,6.91,18.54,9.06,9.3,7.31,0.0
20050107:1010,17.96,34.3,13.7,9.72,7.52,0.0
20050107:1110,235.21,279.88,16.25,10.1,7.72,0.0
20050107:1210,84.53,114.28,16.48,10.52,7.79,0.0
20050107:1310,17.14,33.38,14.36,11.05,7.24,0.0
20050107:1410,4.01,13.91,10.09,11.27,7.38,0.0
20050107:1510,0.0,5.56,4.04,11.29,6.76,0.0
20050107:1610,0.0,0.0,0.0,10.94,6.28,0.0
20050107:1710,0.0,0.0,0.0,10.67,6.28,0.0
20050107:1810,0.0,0.0,0.0,10.23,6.41,0.0
20050107:1910,0.0,0.0,0.0,10.67,6.55,0.0
20050107:2010,0.0,0.0,0.0,10.48,6.62,0.0
20050107:2110,0.0,0.0,0.0,10.51,6.83,0.0
20050107:2210,0.0,0.0,0.0,10.56,7.1,0.0
20050107:2310,0.0,0.0,0.0,10.5,7.45,0.0
20050108:0010,0.0,0.0,0.0,10.17,7.66,0.0
20050108:0110,0.0,0.0,0.0,9.63,7.66,0.0
20050108:0210,0.0,0.0,0.0,9.08,7.86,0.0
20050108:0310,0.0,0.0,0.0,8.87,8.21,0.0
20050108:0410,0.0,0.0,0.0,8.66,8.48,0.0
20050108:0510,0.0,0.0,0.0,8.59,8.76,0.0
20050108:0610,0.0,0.0,0.0,8.39,8.97,0.0
20050108:0710,0.0,0.0,0.0,8.57,9.52,0.0
20050108:0810,0.0,0.0,0.0,9.05,10.0,0.0
20050108:0910,1.12,8.34,9.14,9.89,10.34,0.0
20050108:1010,36.81,58.41,13.8,10.51,10.21,0.0
20050108:1110,344.03,399.91,16.37,10.78,9.93,0.0
20050108:1210,9.29,22.25,16.61,10.63,9.79,0.0
20050108:1310,26.43,45.43,14.51,10.44,10.41,0.0
20050108:1410,56.27,81.44,10.25,10.24,9.24,0.0
20050108:1510,320.49,384.3,4.2,9.71,8.21,0.0
20050108:1610,0.0,0.0,0.0,8.86,7.38,0.0
20050108:1710,0.0,0.0,0.0,8.13,6.76,0.0
20050108:1810,0.0,0.0,0.0,7.49,6.07,0.0
20050108:1910,0.0,0.0,0.0,6.49,5.66,0.0
20050108:2010,0.0,0.0,0.0,6.13,5.52,0.0
20050108:2110,0.0,0.0,0.0,6.02,5.45,0.0
20050108:2210,0.0,0.0,0.0,5.98,5.24,0.0
20050108:2310,0.0,0.0,0.0,5.8,5.24,0.0
20050109:0010,0.0,0.0,0.0,5.91,5.31,0.0
20050109:0110,0.0,0.0,0.0,6.09,5.59,0.0
20050109:0210,0.0,0.0,0.0,6.2,5.79,0.0
20050109:0310,0.0,0.0,0.0,5.99,5.86,0.0
20050109:0410,0.0,0.0,0.0,5.81,5.79,0.0
20050109:0510,0.0,0.0,0.0,5.75,5.66,0.0
20050109:0610,0.0,0.0,0.0,5.97,5.66,0.0
20050109:0710,0.0,0.0,0.0,5.35,5.24,0.0
20050109:0810,0.0,0.0,0.0,5.2,5.1,0.0
20050109:0910,78.44,104.72,9.23,5.52,5.03,0.0
20050109:1010,304.11,352.46,13.91,6.36,4.41,0.0
20050109:1110,391.42,450.63,16.5,7.17,5.24,0.0
20050109:1210,410.06,473.39,16.76,7.76,5.24,0.0
20050109:1310,501.66,581.38,14.66,8.22,5.03,0.0
20050109:1410,425.07,496.04,10.41,8.43,4.69,0.0
20050109:1510,257.31,311.17,4.37,8.04,4.69,0.0
20050109:1610,0.0,0.0,0.0,7.3,4.83,0.0
20050109:1710,0.0,0.0,0.0,6.81,5.17,0.0
20050109:1810,0.0,0.0,0.0,6.78,5.52,0.0
20050109:1910,0.0,0.0,0.0,7.61,5.93,0.0
20050109:2010,0.0,0.0,0.0,8.5,6.0,0.0
20050109:2110,0.0,0.0,0.0,9.37,6.34,0.0
20050109:2210,0.0,0.0,0.0,10.21,6.76,0.0
20050109:2310,0.0,0.0,0.0,10.75,6.76,0.0
20050110:0010,0.0,0.0,0.0,11.06,6.69,0.0
20050110:0110,0.0,0.0,0.0,11.07,6.62,0.0
20050110:0210,0.0,0.0,0.0,10.84,6.62,0.0
20050110:0310,0.0,0.0,0.0,10.45,6.55,0.0
20050110:0410,0.0,0.0,0.0,10.2,6.34,0.0
20050110:0510,0.0,0.0,0.0,10.35,6.21,0.0
20050110:0610,0.0,0.0,0.0,10.75,6.34,0.0
20050110:0710,0.0,0.0,0.0,11.3,6.69,0.0
20050110:0810,0.0,0.0,0.0,11.18,6.76,0.0
20050110:0910,77.89,106.25,9.33,10.78,6.69,0.0
20050110:1010,269.94,319.76,14.02,11.14,6.83,0.0
20050110:1110,287.14,340.76,16.63,11.54,5.66,0.0
20050110:1210,578.29,678.9,16.91,11.72,6.07,0.0
20050110:1310,548.06,644.44,14.83,11.76,5.79,0.0
20050110:1410,436.3,513.55,10.58,11.45,6.0,0.0
20050110:1510,276.49,336.29,4.54,10.77,5.66,0.0
20050110:1610,0.0,0.0,0.0,9.78,5.59,0.0
20050110:1710,0.0,0.0,0.0,9.1,5.79,0.0
20050110:1810,0.0,0.0,0.0,8.72,6.0,0.0
20050110:1910,0.0,0.0,0.0,9.09,5.93,0.0
20050110:2010,0.0,0.0,0.0,9.07,5.86,0.0
20050110:2110,0.0,0.0,0.0,8.79,5.93,0.0
20050110:2210,0.0,0.0,0.0,8.77,5.93,0.0
20050110:2310,0.0,0.0,0.0,8.7,5.86,0.0
20050111:0010,0.0,0.0,0.0,9.0,5.52,0.0
20050111:0110,0.0,0.0,0.0,9.46,5.1,0.0
20050111:0210,0.0,0.0,0.0,9.73,5.1,0.0
20050111:0310,0.0,0.0,0.0,9.45,4.76,0.0
20050111:0410,0.0,0.0,0.0,9.31,4.62,0.0
20050111:0510,0.0,0.0,0.0,9.2,4.48,0.0
20050111:0610,0.0,0.0,0.0,9.05,4.41,0.0
20050111:0710,0.0,0.0,0.0,9.08,4.21,0.0
20050111:0810,0.0,0.0,0.0,8.95,4.21,0.0
20050111:0910,10.01,23.18,9.43,8.88,4.41,0.0
20050111:1010,45.28,68.26,14.14,8.94,5.45,0.0
20050111:1110,261.19,309.35,16.77,9.22,4.55,0.0
20050111:1210,34.61,55.63,17.07,9.8,4.48,0.0
20050111:1310,242.55,289.18,15.0,10.12,6.07,0.0
20050111:1410,504.32,589.63,10.76,10.24,6.28,0.0
20050111:1510,68.95,97.05,4.72,10.35,6.21,0.0
20050111:1610,0.0,0.0,0.0,10.14,6.14,0.0
20050111:1710,0.0,0.0,0.0,10.3,6.55,0.0
20050111:1810,0.0,0.0,0.0,10.55,6.76,0.0
20050111:1910,0.0,0.0,0.0,9.99,6.83,0.0
20050111:2010,0.0,0.0,0.0,9.69,6.83,0.0
20050111:2110,0.0,0.0,0.0,9.84,6.9,0.0
20050111:2210,0.0,0.0,0.0,10.02,6.9,0.0
20050111:2310,0.0,0.0,0.0,10.35,6.76,0.0
20050112:0010,0.0,0.0,0.0,10.32,6.62,0.0
20050112:0110,0.0,0.0,0.0,10.57,6.41,0.0
20050112:0210,0.0,0.0,0.0,10.67,5.72,0.0
20050112:0310,0.0,0.0,0.0,10.63,4.9,0.0
20050112:0410,0.0,0.0,0.0,10.35,4.41,0.0
20050112:0510,0.0,0.0,0.0,9.91,4.21,0.0
20050112:0610,0.0,0.0,0.0,9.41,4.14,0.0
20050112:0710,0.0,0.0,0.0,8.21,4.14,0.0
20050112:0810,0.0,0.0,0.0,7.7,4.14,0.0
20050112:0910,15.37,30.59,9.54,7.66,4.28,0.0
20050112:1010,39.49,61.19,14.27,8.02,4.62,0.0
20050112:1110,164.48,202.12,16.92,8.57,4.28,0.0
20050112:1210,403.56,467.94,17.23,9.01,5.72,0.0
20050112:1310,288.33,338.92,15.17,9.09,5.59,0.0
20050112:1410,36.29,57.48,10.94,8.93,5.38,0.0
20050112:1510,86.37,116.52,4.9,8.53,4.9,0.0
20050112:1610,0.0,0.0,0.0,7.86,4.62,0.0
20050112:1710,0.0,0.0,0.0,7.27,4.62,0.0
20050112:1810,0.0,0.0,0.0,6.84,4.83,0.0
20050112:1910,0.0,0.0,0.0,6.07,4.55,0.0
20050112:2010,0.0,0.0,0.0,5.76,4.69,0.0
20050112:2110,0.0,0.0,0.0,5.42,4.62,0.0
20050112:2210,0.0,0.0,0.0,5.11,4.55,0.0
20050112:2310,0.0,0.0,0.0,4.83,4.48,0.0
20050113:0010,0.0,0.0,0.0,4.62,4.48,0.0
20050113:0110,0.0,0.0,0.0,4.27,4.41,0.0
20050113:0210,0.0,0.0,0.0,4.2,4.48,0.0
20050113:0310,0.0,0.0,0.0,3.88,4.41,0.0
20050113:0410,0.0,0.0,0.0,3.6,4.34,0.0
20050113:0510,0.0,0.0,0.0,3.39,4.28,0.0
20050113:0610,0.0,0.0,0.0,3.22,4.14,0.0
20050113:0710,0.0,0.0,0.0,3.26,4.07,0.0
20050113:0810,0.0,0.0,0.0,3.1,4.14,0.0
20050113:0910,95.67,123.04,9.66,3.71,4.34,0.0
20050113:1010,413.47,472.44,14.41,4.77,4.07,0.0
20050113:1110,505.44,578.85,17.08,5.7,4.62,0.0
20050113:1210,457.44,524.55,17.4,6.4,5.17,0.0
20050113:1310,82.01,109.89,15.35,6.81,5.45,0.0
20050113:1410,5.25,15.76,11.13,6.74,4.97,0.0
20050113:1510,341.44,405.84,5.09,6.46,4.0,0.0
20050113:1610,0.0,0.0,0.0,5.52,3.31,0.0
20050113:1710,0.0,0.0,0.0,4.61,3.03,0.0
20050113:1810,0.0,0.0,0.0,3.96,2.9,0.0
20050113:1910,0.0,0.0,0.0,3.39,2.97,0.0
20050113:2010,0.0,0.0,0.0,3.12,2.83,0.0
20050113:2110,0.0,0.0,0.0,2.73,2.83,0.0
20050113:2210,0.0,0.0,0.0,2.37,2.83,0.0
20050113:2310,0.0,0.0,0.0,2.16,2.62,0.0
20050114:0010,0.0,0.0,0.0,1.59,2.41,0.0
20050114:0110,0.0,0.0,0.0,1.13,2.21,0.0
20050114:0210,0.0,0.0,0.0,0.79,2.14,0.0
20050114:0310,0.0,0.0,0.0,0.13,2.21,0.0
20050114:0410,0.0,0.0,0.0,-0.16,2.14,0.0
20050114:0510,0.0,0.0,0.0,-0.49,2.14,0.0
20050114:0610,0.0,0.0,0.0,-0.68,2.07,0.0
20050114:0710,0.0,0.0,0.0,-0.63,2.0,0.0
20050114:0810,0.0,0.0,0.0,-0.71,1.93,0.0
20050114:0910,100.95,127.32,9.78,-0.11,1.72,0.0
20050114:1010,129.5,159.26,14.56,1.51,1.72,0.0
20050114:1110,121.99,152.6,17.24,3.12,1.79,0.0
20050114:1210,195.67,233.75,17.58,4.12,1.86,0.0
20050114:1310,103.84,133.72,15.54,4.91,1.93,0.0
20050114:1410,82.26,109.65,11.32,5.18,1.93,0.0
20050114:1510,31.01,50.34,5.28,4.99,1.86,0.0
20050114:1610,0.0,0.0,0.0,4.51,1.93,0.0
20050114:1710,0.0,0.0,0.0,4.07,2.07,0.0
20050114:1810,0.0,0.0,0.0,3.68,2.07,0.0
20050114:1910,0.0,0.0,0.0,2.35,2.14,0.0
20050114:2010,0.0,0.0,0.0,1.88,2.21,0.0
20050114:2110,0.0,0.0,0.0,1.41,2.34,0.0
20050114:2210,0.0,0.0,0.0,1.22,2.34,0.0
20050114:2310,0.0,0.0,0.0,0.85,2.55,0.0
20050115:0010,0.0,0.0,0.0,0.52,2.55,0.0
20050115:0110,0.0,0.0,0.0,0.02,2.41,0.0
20050115:0210,0.0,0.0,0.0,-0.06,2.21,0.0
20050115:0310,0.0,0.0,0.0,-0.68,2.14,0.0
20050115:0410,0.0,0.0,0.0,-0.95,2.07,0.0
20050115:0510,0.0,0.0,0.0,-1.38,2.21,0.0
20050115:0610,0.0,0.0,0.0,-1.61,2.28,0.0
20050115:0710,0.0,0.0,0.0,-1.51,2.62,0.0
20050115:0810,0.0,0.0,0.0,-1.46,2.55,0.0
20050115:0910,105.13,131.47,9.91,-0.52,2.41,0.0
20050115:1010,432.45,490.28,14.71,1.15,2.48,0.0
20050115:1110,561.98,644.38,17.41,2.71,2.76,0.0
20050115:1210,599.07,695.19,17.77,3.89,2.55,0.0
20050115:1310,569.75,664.41,15.74,4.74,2.34,0.0
20050115:1410,466.3,543.98,11.52,5.03,2.14,0.0
20050115:1510,249.03,298.26,5.48,4.38,2.0,0.0
20050115:1610,0.0,0.0,0.0,2.87,2.48,0.0
20050115:1710,0.0,0.0,0.0,1.58,2.76,0.0
20050115:1810,0.0,0.0,0.0,0.87,2.97,0.0
20050115:1910,0.0,0.0,0.0,0.08,2.69,0.0
20050115:2010,0.0,0.0,0.0,-0.3,2.83,0.0
20050115:2110,0.0,0.0,0.0,-0.59,2.9,0.0
20050115:2210,0.0,0.0,0.0,-0.81,2.83,0.0
20050115:2310,0.0,0.0,0.0,-1.0,2.76,0.0
20050116:0010,0.0,0.0,0.0,-1.14,2.69,0.0
20050116:0110,0.0,0.0,0.0,-1.25,2.69,0.0
20050116:0210,0.0,0.0,0.0,-1.33,2.69,0.0
20050116:0310,0.0,0.0,0.0,-1.37,2.62,0.0
20050116:0410,0.0,0.0,0.0,-1.37,2.62,0.0
20050116:0510,0.0,0.0,0.0,-1.28,2.69,0.0
20050116:0610,0.0,0.0,0.0,-1.13,2.83,0.0
20050116:0710,0.0,0.0,0.0,-0.88,3.03,0.0
20050116:0810,0.0,0.0,0.0,-0.78,3.03,0.0
20050116:0910,108.62,135.5,10.05,0.17,2.97,0.0
20050116:1010,481.63,546.68,14.86,1.84,2.9,0.0
20050116:1110,615.61,707.19,17.59,3.32,3.31,0.0
20050116:1210,651.63,756.03,17.96,4.58,3.38,0.0
20050116:1310,624.88,727.73,15.94,5.44,3.31,0.0
20050116:1410,389.84,451.96,11.72,5.75,3.38,0.0
20050116:1510,338.47,400.46,5.68,5.3,3.38,0.0
20050116:1610,0.0,0.0,0.0,4.06,3.45,0.0
20050116:1710,0.0,0.0,0.0,3.2,3.52,0.0
20050116:1810,0.0,0.0,0.0,2.81,3.59,0.0
20050116:1910,0.0,0.0,0.0,2.61,3.86,0.0
20050116:2010,0.0,0.0,0.0,2.47,3.72,0.0
20050116:2110,0.0,0.0,0.0,2.46,3.66,0.0
20050116:2210,0.0,0.0,0.0,2.53,3.66,0.0
20050116:2310,0.0,0.0,0.0,3.19,3.72,0.0
20050117:0010,0.0,0.0,0.0,3.79,3.72,0.0
20050117:0110,0.0,0.0,0.0,4.16,3.79,0.0
20050117:0210,0.0,0.0,0.0,4.63,3.86,0.0
20050117:0310,0.0,0.0,0.0,4.9,3.93,0.0
20050117:0410,0.0,0.0,0.0,5.16,4.0,0.0
20050117:0510,0.0,0.0,0.0,5.35,4.0,0.0
20050117:0610,0.0,0.0,0.0,5.53,4.14,0.0
20050117:0710,0.0,0.0,0.0,4.72,4.21,0.0
20050117:0810,0.0,0.0,0.0,4.76,4.41,0.0
20050117:0910,19.1,35.23,10.19,5.07,4.76,0.0
20050117:1010,21.21,38.01,15.03,5.46,5.1,0.0
20050117:1110,12.82,26.89,17.77,5.67,5.24,0.0
20050117:1210,10.82,24.1,18.16,5.96,5.79,0.0
20050117:1310,13.45,27.81,16.14,6.25,6.14,0.0
20050117:1410,7.03,18.54,11.93,6.34,6.41,0.0
20050117:1510,3.08,12.05,5.89,6.36,6.14,0.0
20050117:1610,0.0,0.0,0.0,6.35,6.14,0.0
20050117:1710,0.0,0.0,0.0,6.58,6.48,0.0
20050117:1810,0.0,0.0,0.0,6.84,6.83,0.0
20050117:1910,0.0,0.0,0.0,6.72,6.76,0.0
20050117:2010,0.0,0.0,0.0,6.82,7.03,0.0
20050117:2110,0.0,0.0,0.0,6.97,7.24,0.0
20050117:2210,0.0,0.0,0.0,7.16,7.45,0.0
20050117:2310,0.0,0.0,0.0,7.33,7.52,0.0
20050118:0010,0.0,0.0,0.0,7.46,7.45,0.0
20050118:0110,0.0,0.0,0.0,7.48,7.31,0.0
20050118:0210,0.0,0.0,0.0,7.37,6.97,0.0
20050118:0310,0.0,0.0,0.0,7.33,6.76,0.0
20050118:0410,0.0,0.0,0.0,7.28,7.03,0.0
20050118:0510,0.0,0.0,0.0,7.07,7.52,0.0
20050118:0610,0.0,0.0,0.0,6.59,8.0,0.0
20050118:0710,0.0,0.0,0.0,5.69,5.59,0.0
20050118:0810,0.0,0.0,0.0,5.21,5.03,0.0
20050118:0910,3.64,12.98,10.34,4.84,4.9,0.0
20050118:1010,28.63,47.28,15.2,4.91,4.48,0.0
20050118:1110,10.26,23.18,17.96,4.49,4.34,0.0
20050118:1210,10.95,24.1,18.36,3.77,4.34,0.0
20050118:1310,21.42,38.01,16.36,3.48,4.28,0.0
20050118:1410,5.94,16.69,12.15,3.49,4.21,0.0
20050118:1510,1.19,8.34,6.1,3.58,4.41,0.0
20050118:1610,0.0,0.0,0.0,2.91,4.07,0.0
20050118:1710,0.0,0.0,0.0,2.22,4.48,0.0
20050118:1810,0.0,0.0,0.0,1.74,4.55,0.0
20050118:1910,0.0,0.0,0.0,1.58,5.03,0.0
20050118:2010,0.0,0.0,0.0,1.29,5.66,0.0
20050118:2110,0.0,0.0,0.0,1.68,5.59,0.0
20050118:2210,0.0,0.0,0.0,2.95,5.66,0.0
20050118:2310,0.0,0.0,0.0,3.94,5.93,0.0
20050119:0010,0.0,0.0,0.0,4.44,5.86,0.0
20050119:0110,0.0,0.0,0.0,4.22,5.38,0.0
20050119:0210,0.0,0.0,0.0,3.94,5.03,0.0
20050119:0310,0.0,0.0,0.0,3.57,4.76,0.0
20050119:0410,0.0,0.0,0.0,3.3,4.55,0.0
20050119:0510,0.0,0.0,0.0,3.26,4.48,0.0
20050119:0610,0.0,0.0,0.0,3.2,4.41,0.0
20050119:0710,0.0,0.0,0.0,3.15,4.07,0.0
20050119:0810,0.0,0.0,0.0,2.88,3.93,0.0
